LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	
Moles	Angela	28	Global Seed Mass, Plant Height Database	Inga 8333	234775	Inga	1297724	8879976	28	Dispersal syndrome	32	Dispersal syndrome (agent)	dispersal high res.	mammal		Single									Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.		
Moles	Angela	28	Global Seed Mass, Plant Height Database	Inga 8333	234775	Inga	1297724	8879977	28	Dispersal syndrome	186	Dispersal syndrom simple	dispersal simple	animal		Single									Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.		
Moles	Angela	28	Global Seed Mass, Plant Height Database	Inga 8333	234775	Inga	1297724	8879978	28	Dispersal syndrome	187	Principal dispersal agent subgroup	principal dispersal agent subgroup	Diaspore is eaten intentionally		Single									Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.		
Moles	Angela	28	Global Seed Mass, Plant Height Database	Inga 8478	234775	Inga	1297725	8879999	28	Dispersal syndrome	32	Dispersal syndrome (agent)	dispersal high res.	mammal		Single									Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.		
Moles	Angela	28	Global Seed Mass, Plant Height Database	Inga 8478	234775	Inga	1297725	8880000	28	Dispersal syndrome	186	Dispersal syndrom simple	dispersal simple	animal		Single									Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.		
Moles	Angela	28	Global Seed Mass, Plant Height Database	Inga 8478	234775	Inga	1297725	8880001	28	Dispersal syndrome	187	Principal dispersal agent subgroup	principal dispersal agent subgroup	Diaspore is eaten intentionally		Single									Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.		
Moles	Angela	28	Global Seed Mass, Plant Height Database	Virola michelii	56617	Virola michelii	1298193	8890295	28	Dispersal syndrome	32	Dispersal syndrome (agent)	dispersal high res.	bird		Single									Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.		
Moles	Angela	28	Global Seed Mass, Plant Height Database	Virola michelii	56617	Virola michelii	1298193	8890296	28	Dispersal syndrome	186	Dispersal syndrom simple	dispersal simple	animal		Single									Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.		
Moles	Angela	28	Global Seed Mass, Plant Height Database	Virola michelii	56617	Virola michelii	1298193	8890297	28	Dispersal syndrome	187	Principal dispersal agent subgroup	principal dispersal agent subgroup	Diaspore is eaten intentionally		Single									Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.		
Moles	Angela	28	Global Seed Mass, Plant Height Database	Virola michelii	56617	Virola michelii	1298194	8890319	28	Dispersal syndrome	32	Dispersal syndrome (agent)	dispersal high res.	bird		Single									Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.		
