,fam,gen,sp,count,Local,ShadeTol,mainDispersal,,canFixN,Wind,Water,Animal,Insect,Vertebrate,Kernel (m),Strategy,Refs
1,Vochysiaceae,Vochysia,ferruginea,281,Mayo botarama,,Wind,,,Common,,,,Rare ,,Pioneer/Early,Davies et al 2013
2,Malvaceae,Bombacopsis/Pachira,quinata,265,Pochote,,Wind,,,Common ,,,,,85 (158-48),,"Rymer et al 2015, Castellanos & Stevenson 2011"
3,NA,-,-,212,,,NA,,,,,,,,,,NA
10,Fabaceae,Schizolobium,parahyba,90,Zope ,,Wind,,,Common ,,,,,,,Turchetto-Zolet et al 2012
14,Vochysiaceae,Vochysia,allenii,47,May blanco,,Wind,,,,,,,,,Pioneer/Early,
30,Fabaceae,Inga,sp.,39,,,Animal,,,,,,,Common ,,,Dexter et al 2017
45,Meliaceae,Carapa,guianensis,39,,,Animal,,,,Some,,,Some,,,Londres et al 2017; https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwj2y82vu9rzAhWIK80KHRBlBwUQFnoECAUQAQ&url=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F279764510_Seed_and_seedling_ecology_of_Carapa_guianensis&usg=AOvVaw0FuDjQmdIo6VOhgM3UE9et
63,Annonaceae,Guatteria,dolichopoda,36,,,Animal,,,,,Common,Common,Common,,,Werden et al 2020 Dryad
118,Myristicaceae,Virola,sp.,25,,,Animal,,,,,,,,,,Howe 1981; https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiEwcPou9rzAhWZKM0KHbfIA3oQFnoECAcQAQ&url=https%3A%2F%2Fsora.unm.edu%2Fsites%2Fdefault%2Ffiles%2Fjournals%2Fauk%2Fv098n01%2Fp0088-p0098.pdf&usg=AOvVaw2sf-TeSQ6Yor_yDEeIkV25
126,Euphorbiaceae,Hyeronima,alchorneoides,22,,,Animal,,,,,Common,Common?,Common?,,,Werden et al 2020 Dryad
129,Lauraceae,Ocotea,insularis,19,,,Animal,,,,,Common,Common?,Common?,,,Werden et al 2020 Dryad
131,Rubiaceae,Chimarrhis,latifolia,19,,,Wind,,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjRotCQvNrzAhWDZM0KHQtmCM8QFnoECAQQAQ&url=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F281411377_Phenology_of_tree_species_of_the_Osa_Peninsula_and_Golfo_Dulce_region_Costa_Rica&usg=AOvVaw121j8yP5SecTkyzxzxmmX_
135,Malvaceae,Heliocarpus,appendiculatus,16,,,Wind,,,Common,,,,,,,Werden et al 2020 Dryad
