ID,dist,plot,rep,N,W,incl,side,fam,gen,sp,spg,dap,h,b,kg,luz
609,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,17.0,17,5,93,17.68
675,50,50.1,1,8.40826,83.31387,25,21,Tiliaceae,-,-,0.58,12.8,16,6,73,17.68
669,50,50.1,1,8.40826,83.31387,25,21,Simaroubaceae,Simarouba,amara,0.417,5.7,7,6,6,17.68
721,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,14.5,17,8,61,17.68
600,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,11.6,17,7,37,17.68
604,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,15.3,17,6,72,17.68
683,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,12.3,17,7,45,17.68
648,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,9.3,15,8,22,17.68
708,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,14.8,16,8,62,17.68
642,50,50.1,1,8.40826,83.31387,25,21,Fabaceae/Caesalpinioideae,Schizolobium,parahyba,0.315,17.6,20,9,88,17.68
614,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,35.5,20,9,384,17.68
779,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,26.6,26,11,272,17.68
673,50,50.1,1,8.40826,83.31387,25,21,Fabaceae/Caesalpinioideae,Schizolobium,parahyba,0.315,26.0,19,5,180,17.68
734,50,50.1,1,8.40826,83.31387,25,21,Rubiaceae,Chimarrhis,latifolia,0.75,7.0,12,6,17,17.68
622,50,50.1,1,8.40826,83.31387,25,21,Rubiaceae,Chimarrhis,latifolia,0.75,8.3,13,6,25,17.68
644,50,50.1,1,8.40826,83.31387,25,21,Rubiaceae,Chimarrhis,latifolia,0.75,8.0,12,6,21,17.68
757,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,43.5,17,6,486,17.68
629,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,9.0,12,5,19,17.68
651,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,7.7,13,5,14,17.68
681,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,15.3,20,6,87,17.68
624,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,8.9,11,6,12,17.68
628,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,23.5,15,5,143,17.68
687,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,5.4,6,5,3,17.68
636,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,32.5,18,7,303,17.68
684,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,14.5,10,8,34,17.68
667,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,5.8,7,5,4,17.68
739,50,50.1,1,8.40826,83.31387,25,21,Fabaceae/Caesalpinioideae,Schizolobium,parahyba,0.315,14.5,19,7,62,17.68
698,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,13.9,11,5,38,17.68
630,50,50.1,1,8.40826,83.31387,25,21,Vochysiaceae,Vochysia,ferruginea,0.37,40.5,18,7,492,17.68
